0,1,2,3,4,5,6,7,8,loan_status
128306.57194744363,-36820.4376815678,4354.5426336486435,3594.7830333381903,19866.249985464576,-26110.96672538267,1295.0407088261957,-2549.871246863467,-4770.52434755956,0
-197915.73954917284,-22277.0541739131,-10058.285204538099,9744.48346881721,928.2924762149169,12299.974806137117,4504.938221324478,-2046.7051766079535,1838.235197224509,0
-187100.57423210854,-13968.449322478691,-30554.2772514763,8680.634941183895,-1847.8841419694859,9526.249737482156,6027.235789703474,-2280.262633817,523.4719439097449,0
-162994.6614910138,4657.6339791381015,29646.670261233303,13898.384378299023,-7797.609695172046,-4172.57571032853,5665.91636934361,-762.2575022509619,-504.33340651283055,0
20860.719643569628,145903.8216324854,-22712.596285091437,-7224.879627861552,59213.31869328204,-8453.931217615447,-36928.87517876509,-2884.335680989831,-8343.214772967573,0
-217306.6485449441,-22095.541149987526,12266.910060262935,-15372.668524503128,8928.058243131136,1943.0767145233267,-897.6688076839946,-2587.244516808577,-1763.948340025201,0
145570.00524850312,-52785.01650829619,-29403.400596001422,-24007.932532542327,171.69173365568432,19046.066693516445,-1959.98918922268,7377.666748515387,7540.898352863027,0
-162811.26250890264,9680.539337436288,-7009.997953294778,-171.20749586890676,5199.775672868369,-3565.5885815269585,874.7494643441886,-2302.2207075845017,-2010.1404723820924,0
-212265.68421306153,-22169.412340060735,7412.917651637523,-9357.277677382117,13662.01559417335,10080.849004027004,1990.3652340623937,-2669.0371899187426,-831.8497009037694,0
-55944.03429829195,-8585.054314765763,26666.418900602006,-20733.985012851987,13721.898869796125,7233.519849950594,3055.0388474695387,-7571.155754145474,-2889.1591800385763,0
18222.584158458547,-26456.70676990131,-33455.06771629995,-15910.699973703664,-309.16527940144266,13444.572825182358,-2495.593287364956,-2298.2129915725545,-1509.1609856667603,0
76896.54817085584,-20666.602129465013,18445.17546099099,-23449.78168853253,-3032.8065019156393,13021.132209694828,9151.90597358825,-7728.666968200866,-11700.897025255412,0
145537.27563958016,-81413.99759987603,-22916.121928529272,-13266.494517933155,6355.759118181196,4358.004683542879,-407.97268137350505,-7119.46422568749,-1061.5512236811312,0
